time_s,phase_s
0.000000,0.000000e+00
1.000000,1.818760e-01
2.000000,-2.656037e-01
3.000000,-1.013454e-01
4.000000,-5.296228e-03
5.000000,-1.182890e+00
6.000000,-2.193087e+00
7.000000,-2.565447e+00
8.000000,-2.976230e+00
9.000000,-3.260408e+00
10.000000,-3.711500e+00
11.000000,-3.395003e+00
12.000000,-2.995361e+00
13.000000,-2.823186e+00
14.000000,-2.274902e+00
15.000000,-2.072709e+00
16.000000,-2.450693e+00
17.000000,-2.486237e+00
18.000000,-2.924930e+00
19.000000,-2.702072e+00
20.000000,-2.770459e+00
21.000000,-2.975223e+00
22.000000,-3.275012e+00
23.000000,-2.856538e+00
24.000000,-2.922732e+00
25.000000,-3.171806e+00
26.000000,-3.317406e+00
27.000000,-3.046804e+00
28.000000,-2.730777e+00
29.000000,-2.361757e+00
30.000000,-1.867584e+00
31.000000,-8.157021e-01
32.000000,-8.320531e-01
33.000000,-1.119849e+00
34.000000,-1.492092e+00
35.000000,-1.247752e+00
36.000000,-7.837682e-01
37.000000,-9.019490e-01
38.000000,-1.429504e+00
39.000000,-1.905486e+00
40.000000,-1.711092e+00
41.000000,-1.376704e+00
42.000000,-1.187189e+00
43.000000,-1.488565e+00
44.000000,-1.482532e+00
45.000000,-1.456595e+00
46.000000,-1.339977e+00
47.000000,-9.648321e-01
48.000000,-8.259945e-01
49.000000,-5.973148e-01
50.000000,-6.592409e-01
51.000000,-7.213415e-01
52.000000,-8.378572e-01
53.000000,-1.853472e+00
54.000000,-2.569962e+00
55.000000,-3.307343e+00
56.000000,-4.093270e+00
57.000000,-4.591090e+00
58.000000,-4.429216e+00
59.000000,-5.086538e+00
60.000000,-5.273171e+00
61.000000,-6.435337e+00
62.000000,-7.127514e+00
63.000000,-7.450206e+00
64.000000,-7.514446e+00
65.000000,-7.477447e+00
66.000000,-7.496802e+00
67.000000,-8.061812e+00
68.000000,-8.738742e+00
69.000000,-8.988463e+00
70.000000,-9.763876e+00
71.000000,-1.112177e+01
72.000000,-1.249390e+01
73.000000,-1.365198e+01
74.000000,-1.414447e+01
75.000000,-1.461882e+01
76.000000,-1.490902e+01
77.000000,-1.560958e+01
78.000000,-1.610588e+01
79.000000,-1.644192e+01
80.000000,-1.715287e+01
81.000000,-1.770134e+01
82.000000,-1.873583e+01
83.000000,-1.975477e+01
84.000000,-2.083890e+01
85.000000,-2.217905e+01
86.000000,-2.287025e+01
87.000000,-2.381413e+01
88.000000,-2.454279e+01
89.000000,-2.502272e+01
90.000000,-2.549496e+01
91.000000,-2.596887e+01
92.000000,-2.687533e+01
93.000000,-2.806712e+01
94.000000,-2.934861e+01
95.000000,-3.139387e+01
96.000000,-3.347153e+01
97.000000,-3.545137e+01
98.000000,-3.714707e+01
99.000000,-3.820414e+01
100.000000,-3.962484e+01
101.000000,-4.071101e+01
102.000000,-4.108224e+01
103.000000,-4.198894e+01
104.000000,-4.262945e+01
105.000000,-4.392665e+01
106.000000,-4.507401e+01
107.000000,-4.647405e+01
108.000000,-4.757667e+01
109.000000,-4.826328e+01
110.000000,-4.984725e+01
111.000000,-5.064777e+01
112.000000,-5.145124e+01
113.000000,-5.267184e+01
114.000000,-5.419224e+01
115.000000,-5.509509e+01
116.000000,-5.603794e+01
117.000000,-5.660559e+01
118.000000,-5.705212e+01
119.000000,-5.689677e+01
120.000000,-5.747055e+01
121.000000,-5.840365e+01
122.000000,-5.881107e+01
123.000000,-5.901036e+01
124.000000,-5.868806e+01
125.000000,-5.855402e+01
126.000000,-5.864687e+01
127.000000,-5.855041e+01
128.000000,-5.962557e+01
129.000000,-6.074604e+01
130.000000,-6.199549e+01
131.000000,-6.310998e+01
132.000000,-6.448842e+01
133.000000,-6.508588e+01
134.000000,-6.597570e+01
135.000000,-6.737113e+01
136.000000,-6.845713e+01
137.000000,-6.875811e+01
138.000000,-6.852937e+01
139.000000,-6.762818e+01
140.000000,-6.644531e+01
141.000000,-6.650838e+01
142.000000,-6.756532e+01
143.000000,-6.920010e+01
144.000000,-7.000011e+01
145.000000,-7.111694e+01
146.000000,-7.211381e+01
147.000000,-7.310298e+01
148.000000,-7.379223e+01
149.000000,-7.396155e+01
150.000000,-7.449779e+01
151.000000,-7.532233e+01
152.000000,-7.662670e+01
153.000000,-7.817558e+01
154.000000,-7.914844e+01
155.000000,-7.965277e+01
156.000000,-7.935022e+01
157.000000,-7.957492e+01
158.000000,-7.964618e+01
159.000000,-8.041682e+01
160.000000,-8.159324e+01
161.000000,-8.268738e+01
162.000000,-8.343936e+01
163.000000,-8.304693e+01
164.000000,-8.361992e+01
165.000000,-8.372520e+01
166.000000,-8.437211e+01
167.000000,-8.436030e+01
168.000000,-8.451726e+01
169.000000,-8.496386e+01
170.000000,-8.545590e+01
171.000000,-8.618151e+01
172.000000,-8.654675e+01
173.000000,-8.730197e+01
174.000000,-8.842319e+01
175.000000,-8.945713e+01
176.000000,-8.968057e+01
177.000000,-8.918622e+01
178.000000,-8.915644e+01
179.000000,-8.924747e+01
180.000000,-8.908584e+01
181.000000,-8.849206e+01
182.000000,-8.832387e+01
183.000000,-8.838404e+01
184.000000,-8.785208e+01
185.000000,-8.746736e+01
186.000000,-8.676801e+01
187.000000,-8.673522e+01
188.000000,-8.744380e+01
189.000000,-8.811603e+01
190.000000,-8.746486e+01
191.000000,-8.669595e+01
192.000000,-8.678426e+01
193.000000,-8.703136e+01
194.000000,-8.672512e+01
195.000000,-8.747422e+01
196.000000,-8.823631e+01
197.000000,-8.840000e+01
198.000000,-8.890613e+01
199.000000,-8.929212e+01
200.000000,-8.968309e+01
201.000000,-8.979373e+01
202.000000,-8.952029e+01
203.000000,-8.979908e+01
204.000000,-9.018489e+01
205.000000,-9.170598e+01
206.000000,-9.265820e+01
207.000000,-9.391026e+01
208.000000,-9.535521e+01
209.000000,-9.660875e+01
210.000000,-9.748906e+01
211.000000,-9.787165e+01
212.000000,-9.902974e+01
213.000000,-9.970878e+01
214.000000,-1.004556e+02
215.000000,-1.009993e+02
216.000000,-1.009002e+02
217.000000,-1.008344e+02
218.000000,-1.005368e+02
219.000000,-1.009082e+02
220.000000,-1.016146e+02
221.000000,-1.021484e+02
222.000000,-1.024642e+02
223.000000,-1.028395e+02
224.000000,-1.036563e+02
225.000000,-1.039560e+02
226.000000,-1.039258e+02
227.000000,-1.029100e+02
228.000000,-1.022602e+02
229.000000,-1.029281e+02
230.000000,-1.037250e+02
231.000000,-1.050451e+02
232.000000,-1.060483e+02
233.000000,-1.065767e+02
234.000000,-1.068354e+02
235.000000,-1.079583e+02
236.000000,-1.093519e+02
237.000000,-1.113454e+02
238.000000,-1.126538e+02
239.000000,-1.141961e+02
240.000000,-1.155577e+02
241.000000,-1.169683e+02
242.000000,-1.181128e+02
243.000000,-1.198378e+02
244.000000,-1.212252e+02
245.000000,-1.211179e+02
246.000000,-1.221220e+02
247.000000,-1.229304e+02
248.000000,-1.222841e+02
249.000000,-1.211880e+02
250.000000,-1.217231e+02
251.000000,-1.221256e+02
252.000000,-1.221102e+02
253.000000,-1.216254e+02
254.000000,-1.221966e+02
255.000000,-1.225722e+02
256.000000,-1.225032e+02
257.000000,-1.226117e+02
258.000000,-1.231196e+02
259.000000,-1.236948e+02
260.000000,-1.247434e+02
261.000000,-1.253580e+02
262.000000,-1.258381e+02
263.000000,-1.260810e+02
264.000000,-1.264969e+02
265.000000,-1.264160e+02
266.000000,-1.260388e+02
267.000000,-1.259657e+02
268.000000,-1.258751e+02
269.000000,-1.259171e+02
270.000000,-1.260407e+02
271.000000,-1.263875e+02
272.000000,-1.262831e+02
273.000000,-1.260924e+02
274.000000,-1.249598e+02
275.000000,-1.240158e+02
276.000000,-1.237543e+02
277.000000,-1.241670e+02
278.000000,-1.247221e+02
279.000000,-1.243913e+02
280.000000,-1.243424e+02
281.000000,-1.244181e+02
282.000000,-1.253275e+02
283.000000,-1.252812e+02
284.000000,-1.254015e+02
285.000000,-1.262154e+02
286.000000,-1.268086e+02
287.000000,-1.270677e+02
288.000000,-1.273835e+02
289.000000,-1.278514e+02
290.000000,-1.282552e+02
291.000000,-1.286945e+02
292.000000,-1.289031e+02
293.000000,-1.287838e+02
294.000000,-1.302205e+02
295.000000,-1.308666e+02
296.000000,-1.311756e+02
297.000000,-1.314339e+02
298.000000,-1.320135e+02
299.000000,-1.330780e+02
300.000000,-1.331756e+02
301.000000,-1.326810e+02
302.000000,-1.333257e+02
303.000000,-1.331687e+02
304.000000,-1.333521e+02
305.000000,-1.335060e+02
306.000000,-1.339451e+02
307.000000,-1.339220e+02
308.000000,-1.330389e+02
309.000000,-1.321776e+02
310.000000,-1.307922e+02
311.000000,-1.295852e+02
312.000000,-1.286502e+02
313.000000,-1.273122e+02
314.000000,-1.265065e+02
315.000000,-1.257699e+02
316.000000,-1.255616e+02
317.000000,-1.253882e+02
318.000000,-1.254660e+02
319.000000,-1.250081e+02
320.000000,-1.252614e+02
321.000000,-1.248229e+02
322.000000,-1.245641e+02
323.000000,-1.237624e+02
324.000000,-1.230016e+02
325.000000,-1.219373e+02
326.000000,-1.215301e+02
327.000000,-1.222359e+02
328.000000,-1.225849e+02
329.000000,-1.233288e+02
330.000000,-1.237298e+02
331.000000,-1.232685e+02
332.000000,-1.231793e+02
333.000000,-1.238018e+02
334.000000,-1.246500e+02
335.000000,-1.251789e+02
336.000000,-1.261483e+02
337.000000,-1.268483e+02
338.000000,-1.269955e+02
339.000000,-1.267292e+02
340.000000,-1.268202e+02
341.000000,-1.280588e+02
342.000000,-1.283412e+02
343.000000,-1.285214e+02
344.000000,-1.284812e+02
345.000000,-1.281177e+02
346.000000,-1.292235e+02
347.000000,-1.298367e+02
348.000000,-1.299450e+02
349.000000,-1.306679e+02
350.000000,-1.301754e+02
351.000000,-1.298933e+02
352.000000,-1.295086e+02
353.000000,-1.295997e+02
354.000000,-1.291549e+02
355.000000,-1.285677e+02
356.000000,-1.283620e+02
357.000000,-1.282519e+02
358.000000,-1.282550e+02
359.000000,-1.287443e+02
360.000000,-1.290006e+02
361.000000,-1.291729e+02
362.000000,-1.290664e+02
363.000000,-1.287677e+02
364.000000,-1.292690e+02
365.000000,-1.293927e+02
366.000000,-1.289020e+02
367.000000,-1.292745e+02
368.000000,-1.297259e+02
369.000000,-1.296499e+02
370.000000,-1.292144e+02
371.000000,-1.289471e+02
372.000000,-1.281377e+02
373.000000,-1.274308e+02
374.000000,-1.267814e+02
375.000000,-1.262115e+02
376.000000,-1.251395e+02
377.000000,-1.252837e+02
378.000000,-1.262650e+02
379.000000,-1.259991e+02
380.000000,-1.264647e+02
381.000000,-1.268254e+02
382.000000,-1.269301e+02
383.000000,-1.283441e+02
384.000000,-1.298967e+02
385.000000,-1.315745e+02
386.000000,-1.328314e+02
387.000000,-1.334600e+02
388.000000,-1.339947e+02
389.000000,-1.347641e+02
390.000000,-1.363761e+02
391.000000,-1.383399e+02
392.000000,-1.393019e+02
393.000000,-1.401947e+02
394.000000,-1.405877e+02
395.000000,-1.407704e+02
396.000000,-1.410994e+02
397.000000,-1.412108e+02
398.000000,-1.415191e+02
399.000000,-1.418369e+02
400.000000,-1.426734e+02
401.000000,-1.433567e+02
402.000000,-1.438228e+02
403.000000,-1.440862e+02
404.000000,-1.448229e+02
405.000000,-1.453357e+02
406.000000,-1.462053e+02
407.000000,-1.471044e+02
408.000000,-1.478704e+02
409.000000,-1.498901e+02
410.000000,-1.518784e+02
411.000000,-1.539782e+02
412.000000,-1.562990e+02
413.000000,-1.577360e+02
414.000000,-1.583618e+02
415.000000,-1.591598e+02
416.000000,-1.596284e+02
417.000000,-1.595790e+02
418.000000,-1.594145e+02
419.000000,-1.597700e+02
420.000000,-1.597350e+02
421.000000,-1.603215e+02
422.000000,-1.614851e+02
423.000000,-1.627333e+02
424.000000,-1.643526e+02
425.000000,-1.656927e+02
426.000000,-1.666313e+02
427.000000,-1.669141e+02
428.000000,-1.668895e+02
429.000000,-1.680711e+02
430.000000,-1.687856e+02
431.000000,-1.699699e+02
432.000000,-1.706423e+02
433.000000,-1.715993e+02
434.000000,-1.731771e+02
435.000000,-1.737474e+02
436.000000,-1.748170e+02
437.000000,-1.759568e+02
438.000000,-1.772614e+02
439.000000,-1.782884e+02
440.000000,-1.787632e+02
441.000000,-1.793134e+02
442.000000,-1.795820e+02
443.000000,-1.796998e+02
444.000000,-1.794701e+02
445.000000,-1.799602e+02
446.000000,-1.808654e+02
447.000000,-1.807671e+02
448.000000,-1.809715e+02
449.000000,-1.806049e+02
450.000000,-1.804364e+02
451.000000,-1.804419e+02
452.000000,-1.801078e+02
453.000000,-1.790150e+02
454.000000,-1.778993e+02
455.000000,-1.777141e+02
456.000000,-1.776604e+02
457.000000,-1.774393e+02
458.000000,-1.780353e+02
459.000000,-1.783596e+02
460.000000,-1.788640e+02
461.000000,-1.794387e+02
462.000000,-1.806597e+02
463.000000,-1.823995e+02
464.000000,-1.843585e+02
465.000000,-1.858297e+02
466.000000,-1.868091e+02
467.000000,-1.873998e+02
468.000000,-1.869483e+02
469.000000,-1.867980e+02
470.000000,-1.875127e+02
471.000000,-1.878424e+02
472.000000,-1.884136e+02
473.000000,-1.889214e+02
474.000000,-1.891490e+02
475.000000,-1.891763e+02
476.000000,-1.894791e+02
477.000000,-1.893170e+02
478.000000,-1.899072e+02
479.000000,-1.899057e+02
480.000000,-1.887958e+02
481.000000,-1.884706e+02
482.000000,-1.878689e+02
483.000000,-1.878223e+02
484.000000,-1.877784e+02
485.000000,-1.880747e+02
486.000000,-1.885767e+02
487.000000,-1.893239e+02
488.000000,-1.896790e+02
489.000000,-1.904146e+02
490.000000,-1.905370e+02
491.000000,-1.904330e+02
492.000000,-1.907001e+02
493.000000,-1.913064e+02
494.000000,-1.917694e+02
495.000000,-1.925452e+02
496.000000,-1.931077e+02
497.000000,-1.948265e+02
498.000000,-1.962469e+02
499.000000,-1.982876e+02
500.000000,-2.000192e+02
501.000000,-2.004688e+02
502.000000,-2.010605e+02
503.000000,-2.024698e+02
504.000000,-2.044353e+02
505.000000,-2.068988e+02
506.000000,-2.081206e+02
507.000000,-2.079064e+02
508.000000,-2.083621e+02
509.000000,-2.092913e+02
510.000000,-2.099742e+02
511.000000,-2.114022e+02
512.000000,-2.123344e+02
513.000000,-2.129598e+02
514.000000,-2.135048e+02
515.000000,-2.136323e+02
516.000000,-2.138356e+02
517.000000,-2.139665e+02
518.000000,-2.145477e+02
519.000000,-2.144765e+02
520.000000,-2.141510e+02
521.000000,-2.149182e+02
522.000000,-2.156658e+02
523.000000,-2.155200e+02
524.000000,-2.157795e+02
525.000000,-2.155206e+02
526.000000,-2.158613e+02
527.000000,-2.155853e+02
528.000000,-2.158015e+02
529.000000,-2.160319e+02
530.000000,-2.159004e+02
531.000000,-2.166746e+02
532.000000,-2.178996e+02
533.000000,-2.189846e+02
534.000000,-2.198405e+02
535.000000,-2.214245e+02
536.000000,-2.222897e+02
537.000000,-2.234963e+02
538.000000,-2.243339e+02
539.000000,-2.265945e+02
540.000000,-2.284766e+02
541.000000,-2.305943e+02
542.000000,-2.322754e+02
